,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,KOTAKBANK.NS,AXISBANK.NS,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS,APOLLOHOSP.NS,^NSEI
2023-01-02,1580.0,900.0,550.0,1800.0,950.0,3300.0,1550.0,420.0,1150.0,1050.0,900.0,4500.0,1050.0,3700.0,4800.0,18000.0
2023-01-03,1554.2224609379728,902.3067560654841,556.406321372233,1801.3660444135346,950.3282108831006,3375.3138939941123,1593.4918056632905,425.4710667675843,1173.1081074763845,1058.1670905554238,893.0003714955394,4471.457724374841,1057.6256003629992,3641.0469204538667,4718.017729365373,18107.175804843537
2023-01-04,1580.3561569280594,915.6888998912949,556.6641402094589,1807.5727591015807,965.2820676244701,3394.133440319956,1630.9407567413036,434.45884762618516,1192.3409670409121,1056.7839251368227,900.3692045065378,4425.384883980912,1083.518685983711,3628.157241169844,4709.4996903644505,18317.904022573428
2023-01-05,1565.6824198400893,925.8439479205188,548.5895162590573,1786.2342391508498,965.1178758198728,3429.5382523656986,1646.761360768645,443.87446910514115,1192.4671827748464,1058.759644256389,900.5629422054308,4439.61305192202,1064.2979763444766,3572.4648417849967,4681.668102436108,18266.38051799706
2023-01-06,1568.092662549744,909.776106743788,557.0491478410376,1765.2883401198128,992.6511344512822,3440.4022975507246,1674.621956281523,440.16408459282684,1176.5666099600187,1055.0581173591877,898.9826721999513,4489.203628657059,1054.172968255201,3587.2227589088884,4690.168211101891,18295.67717352653
2023-01-09,1569.7215099801006,899.1851289288265,537.1751587049524,1727.674112671631,996.7954464028627,3494.548958590858,1700.0375141421086,454.88268398173227,1171.0947693490702,1072.9888238468025,905.864580113289,4479.713846726013,1054.068326969346,3640.450204070866,4726.687900999706,18300.39180125216
2023-01-10,1587.417383695038,923.8558802925785,544.2277320832447,1741.6693409512613,1012.4274800691851,3558.3938747280777,1698.1943180103383,463.1556251697923,1191.3323771773335,1087.5340604806527,897.8651386045676,4530.250158503167,1046.664129774226,3621.551932243847,4700.1791067911,18498.61568150946
2023-01-11,1572.3384405079898,927.5909604410533,544.9906254070826,1757.680349173091,1014.8864575428239,3518.3834792523967,1638.732276622586,438.6853396352749,1160.810618949655,1055.6634740065795,913.340414545388,4491.5687920181,1036.7813218937185,3611.06154089536,4749.3823229407935,18207.06953021268
2023-01-12,1549.2993327778072,916.1666398773663,536.3746866123362,1752.0441881430831,1014.3309005090968,3479.9598267393835,1645.1538215456708,435.3023909743338,1179.1975555232473,1044.5979240191634,890.20836399496,4412.449077353434,1032.586319237936,3626.5228745780573,4578.6482582757335,18047.547556788708
2023-01-13,1603.9636646918268,921.072409520168,550.5848684581383,1778.5848097683242,1042.1032165693744,3499.86972343108,1643.3940060358143,424.3577857072743,1155.0950478839707,1038.9106856041378,876.58540182231,4431.189409180483,1017.543885626244,3639.397203827451,4547.664214189455,18064.51506134965
