,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,KOTAKBANK.NS,AXISBANK.NS,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS,APOLLOHOSP.NS,^NSEI
2023-01-02,1580.0,900.0,550.0,1800.0,950.0,3300.0,1550.0,420.0,1150.0,1050.0,900.0,4500.0,1050.0,3700.0,4800.0,18000.0
2023-01-03,1554.2224609379728,902.3067560654841,556.406321372233,1801.3660444135346,950.3282108831006,3375.3138939941123,1593.4918056632905,425.4710667675843,1173.1081074763845,1058.1670905554238,893.0003714955394,4471.457724374841,1057.6256003629992,3641.0469204538667,4718.017729365373,18107.175804843493
2023-01-04,1580.3561569280594,915.6888998912949,556.6641402094589,1807.5727591015807,965.2820676244703,3394.133440319956,1630.9407567413036,434.45884762618516,1192.3409670409121,1056.7839251368227,900.3692045065378,4425.384883980912,1083.518685983711,3628.157241169844,4709.499690364451,18317.90402257335
2023-01-05,1565.6824198400893,925.8439479205188,548.5895162590573,1786.2342391508498,965.117875819873,3429.5382523656986,1646.761360768645,443.87446910514115,1192.4671827748464,1058.759644256389,900.5629422054308,4439.61305192202,1064.2979763444766,3572.4648417849967,4681.668102436109,18266.380517996942
2023-01-06,1568.092662549744,909.776106743788,557.0491478410376,1765.2883401198128,992.6511344512825,3440.4022975507246,1674.621956281523,440.16408459282684,1176.5666099600187,1055.0581173591877,898.9826721999513,4489.203628657059,1054.172968255201,3587.2227589088884,4690.168211101892,18295.67717352641
2023-01-09,1569.721509980101,899.1851289288265,537.1751587049524,1727.674112671631,996.7954464028629,3494.548958590858,1700.0375141421086,454.88268398173227,1171.0947693490702,1072.9888238468025,905.864580113289,4479.713846726013,1054.0683269693461,3640.450204070866,4726.6879009997065,18300.391801252048
2023-01-10,1587.4173836950386,923.8558802925785,544.2277320832447,1741.6693409512613,1012.4274800691853,3558.3938747280777,1698.1943180103383,463.1556251697923,1191.3323771773335,1087.5340604806527,897.8651386045676,4530.250158503167,1046.6641297742262,3621.551932243847,4700.179106791101,18498.615681509382
2023-01-11,1572.3384405079903,927.5909604410533,544.9906254070826,1757.680349173091,1014.8864575428241,3518.3834792523967,1638.732276622586,438.6853396352749,1160.8106189496552,1055.6634740065795,913.340414545388,4491.5687920181,1036.7813218937188,3611.06154089536,4749.382322940794,18207.069530212622
2023-01-12,1549.2993327778076,916.1666398773663,536.3746866123362,1752.0441881430831,1014.3309005090971,3479.9598267393835,1645.1538215456708,435.3023909743338,1179.1975555232475,1044.5979240191634,890.20836399496,4412.449077353434,1032.5863192379363,3626.5228745780573,4578.648258275734,18047.54755678862
2023-01-13,1603.9636646918273,921.072409520168,550.5848684581383,1778.5848097683242,1042.1032165693748,3499.86972343108,1643.3940060358143,424.3577857072743,1155.095047883971,1038.9106856041378,876.58540182231,4431.189409180483,1017.5438856262442,3639.397203827451,4547.664214189456,18064.515061349575
2023-01-16,1571.6014029629223,892.2846298563834,550.5848684581383,1729.2091356709248,1032.5186176059642,3497.6026125976846,1612.1785870844387,416.9545842305312,1155.4770779826351,1010.678943161789,864.9818737683596,4337.218657265101,994.7124675387763,3613.4603193551775,4430.312022398677,17666.954731095433
2023-01-17,1588.8739052486098,880.129939895315,547.6095981572468,1718.1994249670352,1037.3202710501082,3466.48900934376,1606.8150923665198,424.99016141499874,1153.7049678664175,987.0278117635739,869.0355455495142,4311.06248330177,989.2916309070853,3616.7402593754623,4404.2301301696325,17649.682138861415
2023-01-18,1617.803743138204,888.4802046039574,548.2415343803269,1728.8654066228935,1045.0529100091928,3532.719059296446,1626.6942377121425,426.7523568452965,1151.8394422049623,1032.685474109015,854.7438407998078,4212.5681390820455,976.8897630520031,3486.8321966840226,4263.676828404791,17580.199977871696
2023-01-19,1620.0308636090303,891.0488352616586,547.772579549965,1735.9719195456319,1052.2719699601182,3546.465175260525,1645.2847702521321,423.74690293397396,1151.2695349426415,1019.504908398077,855.3494649021775,4144.877169971293,982.276934716408,3480.624899691524,4178.925378206448,17544.618115806523
2023-01-20,1599.5756498066987,877.7882680984668,533.5629469261803,1712.9345701735047,1026.256554978964,3546.465175260525,1700.669902589177,431.2667945906378,1166.6950203955244,1047.5008214934733,865.7837827744471,4106.856910084671,981.0622119693799,3441.3111311444427,4213.993841294134,17536.01603234584
2023-01-23,1598.8088717395904,850.7315256005745,525.331491267575,1689.951771777274,1033.5877677723875,3542.2035508267522,1674.6401073920003,431.20319549796005,1184.6433370615648,1041.5255975434402,858.4820780299368,4082.705125771581,965.4768814430115,3455.133879709596,4287.13600405519,17428.838726974544
2023-01-24,1649.5556815153755,865.5410518993926,533.5249727172977,1707.0168122465543,1051.9184235518464,3663.896208638588,1705.5516269399182,443.7357761584084,1204.026879572028,1059.4512981154096,859.1016500002193,4116.307293146276,978.2517164185952,3542.457879313592,4379.690971627578,17823.12783475349
2023-01-25,1673.4517936123896,865.180623637977,531.0707341068742,1707.775579189489,1037.9251448160178,3650.2220135419075,1699.2219865090178,448.57582566212636,1202.9062207395798,1043.9021737658495,880.4432028297982,4115.665794733179,982.9844441900293,3578.801193704515,4478.061501123403,17876.745698612893
2023-01-26,1639.3041649319339,857.4059562059398,525.5972631990518,1689.4370024860646,1036.9747834674,3703.469384969457,1720.0748242882091,453.45745723785126,1204.5073791458533,1034.1466053040253,872.9185373707941,4145.327780766052,1002.8268177864446,3598.7366066794234,4389.825377150268,17865.341711228182
2023-01-27,1598.161353008096,857.4059562059398,526.665078546517,1670.939543573374,1037.5556626151263,3581.502801433611,1687.8974014686653,444.8258802012663,1157.5017640851945,980.7333812069252,890.3583160468787,4248.467301008616,1037.388386080313,3653.2508906735366,4482.170871718248,17709.235106351392
2023-01-30,1614.6307492875496,857.4059562059398,533.0152453688466,1669.9221004585518,1059.3574792014372,3595.860945262339,1664.0848843522888,443.50615012245225,1159.5029213372168,1012.491434027466,895.3438974386222,4306.293504885312,1067.3884841329764,3605.07309098612,4474.997219066253,17811.858010879172
2023-01-31,1612.85235016578,836.4916149020316,524.1018501731021,1665.307659228531,1066.7165852914284,3600.761776529636,1646.8124279033448,441.16207857768364,1157.5611367976626,994.3580517173039,892.1683855807397,4239.925234395746,1058.851120312258,3608.553939840062,4423.477040400304,17669.81976941977
2023-02-01,1627.280545513651,849.4283878602918,525.0218179838872,1699.267149146604,1086.4331383946808,3526.6304294381275,1660.4135457724801,444.33452387550204,1162.0574265388047,994.3580517173039,885.1354253479934,4283.263449527581,1047.1187721601057,3637.609810199044,4434.678998358427,17817.104345066622
